Airfoil,CL,CD,CM,CL/CD
DU 80-176 V1,[1.10888844],[0.00643778],[-0.12608181],[172.24690928]
EPPLER 560 AIRFOIL,[1.26430841],[0.0073417],[-0.16417256],[172.20928177]
FX 63-147 AIRFOIL,[1.16842937],[0.00678851],[-0.13544777],[172.11857182]
AH 94-156,[0.99909299],[0.00580509],[-0.09337192],[172.10625984]
EPPLER 434 AIRFOIL,[1.05218165],[0.00611506],[-0.10255812],[172.06404107]
GOE 437 AIRFOIL,[1.04402109],[0.00607103],[-0.09903465],[171.96777412]
AH 93-156,[1.02536671],[0.00597263],[-0.09622326],[171.67767496]
GOE 450 AIRFOIL,[1.12298845],[0.0065436],[-0.12200227],[171.61632461]
GOE 382 AIRFOIL,[1.17092306],[0.00683098],[-0.10631333],[171.41354854]
GOE 326 (PFALZ 55) AIRFOIL,[1.0192719],[0.00594709],[-0.08494543],[171.39005709]
GOE 422 AIRFOIL,[1.2699118],[0.00741215],[-0.141181],[171.32840878]
GOE 176 (ALBATROS 7020) AIRFOIL,[1.2187961],[0.00711471],[-0.13498805],[171.30661858]
S4180-098-84,[1.02952508],[0.00601273],[-0.08616174],[171.22432256]
AH 93-157,[1.02713049],[0.00600949],[-0.0956909],[170.91817553]
EPPLER 856 AIRFOIL,[1.12384977],[0.00657626],[-0.12566837],[170.89492205]
EPPLER 397 AIRFOIL,[1.26373746],[0.00739904],[-0.17120084],[170.79751319]
NACA M23 AIRFOIL,[0.86009046],[0.00503807],[-0.02128982],[170.71832826]
GOE 424 AIRFOIL,[1.06812063],[0.00626146],[-0.09010497],[170.58646659]
Dayton-Wright 6,[1.25414361],[0.00735316],[-0.1010908],[170.55837781]
GOE 187 (SCHUETTE-LANZ 2U10) AIRFOIL,[1.03488285],[0.00606996],[-0.08274108],[170.49265358]
GOE 381 AIRFOIL,[1.1068174],[0.00649315],[-0.10107387],[170.45913337]
NN7 MK20,[1.0255143],[0.00602807],[-0.10828051],[170.12314286]
GOE 234 (MVA CA5) AIRFOIL,[1.64406031],[0.00966796],[-0.24720777],[170.05246282]
RONCZ 1082T VOYAGER TIP OUTER AFT WING AIRFOIL,[0.89297068],[0.00525357],[-0.06897772],[169.97396842]
GOE 362 AIRFOIL,[1.08605328],[0.00639606],[-0.10284885],[169.80037767]
GOE 654 AIRFOIL,[1.12562479],[0.00663527],[-0.09807646],[169.64271638]
AQUILA 9.3% smoothed,[0.9518996],[0.00561219],[-0.06738796],[169.61278852]
Rhode St. Genese 32,[1.17010291],[0.00690435],[-0.07974043],[169.47317591]
GOE 233 (MVA CA4) AIRFOIL,[1.51233191],[0.00893122],[-0.21657883],[169.33088257]
GOE 328 AIRFOIL,[0.97746639],[0.00577349],[-0.08345659],[169.30264118]
GOE 57 AIRFOIL,[1.09738701],[0.00648703],[-0.1107649],[169.16637993]
GOE 217 (MVA MK.12) AIRFOIL,[1.5235711],[0.0090112],[-0.19085112],[169.07526024]
GOE 398 AIRFOIL,[1.10344291],[0.00652984],[-0.09709338],[168.9847075]
EPPLER 748 AIRFOIL,[1.28054587],[0.00757894],[-0.16314928],[168.96110269]
AH-6-40-7 AIRFOIL,[1.25249238],[0.00741345],[-0.15326782],[168.94867522]
EPPLER 639 AIRFOIL,[0.927252],[0.00549214],[-0.04218008],[168.83246922]
GOE 240 (KOLLER) AIRFOIL,[1.07640795],[0.0063791],[-0.10229879],[168.73981484]
GOE 500 AIRFOIL,[1.27559312],[0.00757337],[-0.16728779],[168.43130686]
FX 63-137 13.7% smoothed,[1.50655251],[0.00895506],[-0.21594482],[168.23476744]
GOE 376 AIRFOIL,[1.04726939],[0.00622941],[-0.08917278],[168.11692553]
