Airfoil,CL,CD,CM,CL/CD
NACA 63012A AIRFOIL,[0.55013939],[0.0069999],[-0.00087591],[78.59242021]
NACA 642-015 AIRFOIL,[0.57544961],[0.00736342],[-0.00606072],[78.14977315]
LWK 80-150/K25,[0.57085412],[0.00730678],[-0.00632861],[78.12666071]
FX 71-L-150/30 AIRFOIL,[0.58191458],[0.00745207],[-0.00555238],[78.08759746]
FX 71-L-150/30 AIRFOIL,[0.58191458],[0.00745207],[-0.00555238],[78.08759746]
NACA 64-012A AIRFOIL,[0.54883033],[0.00705991],[-0.00112949],[77.73899224]
N-14,[0.48403852],[0.00624012],[0.01532363],[77.56881634]
HT21,[0.56891778],[0.00733792],[-0.00213201],[77.53123327]
NACA 0021,[0.56283161],[0.00726659],[0.00052396],[77.45474053]
R140  12.04% (smoothed),[0.55011699],[0.00710389],[-0.00118399],[77.43884506]
R140 (original),[0.55095729],[0.00712004],[-0.00145937],[77.3812289]
NACA 63-015A AIRFOIL,[0.55228575],[0.00716239],[-0.00121844],[77.10918643]
EPPLER 297 AIRFOIL,[0.54394087],[0.00706881],[-0.00019075],[76.94942072]
FX 71-L-150/20 AIRFOIL,[0.5688649],[0.00740021],[-0.00155036],[76.87143197]
NACA 0010-34,[0.52489727],[0.00686086],[0.00232289],[76.50604223]
DU 86-137/25 AIRFOIL,[0.52702424],[0.00688942],[0.00448758],[76.49759889]
FX 71-L-150/25 AIRFOIL,[0.5616813],[0.00739039],[-0.0004398],[76.00159988]
(Dicke 12.28%),[0.54360644],[0.0071533],[0.00176457],[75.99375779]
GOE 419 AIRFOIL,[0.95758429],[0.01262463],[-0.07832304],[75.85051043]
GOE 775 AIRFOIL,[0.5503386],[0.00727703],[-3.49659659e-05],[75.62684331]
RAE 104 AIRFOIL,[0.51468383],[0.00680632],[0.00619994],[75.61852094]
AH 85-L-120/17,[0.5569689],[0.00736921],[-0.00556188],[75.58051258]
NACA 0010-65,[0.49082309],[0.00649756],[0.01207924],[75.53957689]
EPPLER 863 STRUT AIRFOIL,[0.62944955],[0.00835161],[-0.01835602],[75.36860629]
NACA 642-015A AIRFOIL,[0.54870588],[0.00732432],[-0.00127945],[74.91557293]
Bambino 6,[0.58702436],[0.00784061],[-0.00036283],[74.8697617]
TRAINER60,[0.58428395],[0.00788051],[0.00177339],[74.14289396]
NACA 0012-34,[0.51818469],[0.00702835],[0.00298323],[73.72782669]
NACA 2424,[0.5601259],[0.00760854],[0.00697751],[73.61807097]
NACA 0024,[0.55506535],[0.00756973],[0.00221561],[73.32697461]
"NACA/LANGLEY SYMMETRICAL, SUPERCRITICAL AIRFOIL",[0.46853763],[0.0064259],[0.01995963],[72.91389846]
BOEING 707 .08 SPAN AIRFOIL,[0.51448461],[0.00705758],[0.01320629],[72.89817245]
EPPLER E836 HYDROFOIL AIRFOIL,[0.5282175],[0.00726138],[0.00188704],[72.74336374]
NACA 66(3)-218,[0.62396546],[0.00857838],[-0.02567193],[72.73698991]
NACA 16009,[0.48972449],[0.00673375],[0.01051737],[72.72683141]
S1014,[0.51421585],[0.00709375],[0.00509623],[72.48854576]
NACA 0008-34,[0.52804152],[0.00729141],[0.0023634],[72.41968979]
"NACA 67,1-215",[0.58661283],[0.0081234],[-0.01633642],[72.21268494]
S1016,[0.50239265],[0.00695911],[0.00803152],[72.19212162]
GOE 14K AIRFOIL,[0.67252241],[0.00942744],[-0.03700282],[71.33671603]
GOE 776 AIRFOIL,[0.53382049],[0.0076077],[0.00295606],[70.16842899]
NACA 66(4)-221,[0.5817596],[0.00834819],[-0.01851865],[69.68691274]
EPPLER 864 STRUT AIRFOIL,[0.60542167],[0.00877696],[-0.01656595],[68.97854258]
NACA 0010-35,[0.47780647],[0.00693132],[0.01184492],[68.93445696]
GOE 460 AIRFOIL,[0.45273213],[0.00660588],[0.0229305],[68.53471243]
NASA SC(2)-0404 AIRFOIL,[0.72931969],[0.01074125],[-0.04631029],[67.89894367]
GOE 445 AIRFOIL,[0.53838099],[0.00803638],[0.00187765],[66.99298991]
NACA 16-012,[0.45351075],[0.00677538],[0.0176983],[66.93514475]
NACA 66-018,[0.54102136],[0.00810167],[-0.00479645],[66.77897309]
ULTIMATE,[0.44006655],[0.00670625],[0.02821312],[65.62033063]
E230  (9.96%),[0.37060262],[0.00574048],[0.05056381],[64.55949188]
S4096 (designed for the E-flite UMX ASK-21 scale RC sailplane),[0.85186694],[0.01372106],[-0.06380157],[62.08461627]
GOE 411 AIRFOIL,[0.4368994],[0.00707981],[0.02417227],[61.71064687]
NACA 0010-66,[0.39931201],[0.00653581],[0.03288126],[61.09599427]
NACA 16-006,[0.50730339],[0.00848061],[0.00698672],[59.81922199]
GOE 780 AIRFOIL,[0.41152477],[0.00709695],[0.03190188],[57.98617221]
OAF139 AIRFOIL,[0.43617406],[0.00753579],[0.03370576],[57.88032464]
HAM-STD HS1-430 AIRFOIL,[0.77254395],[0.01369967],[-0.05009686],[56.39144198]
GOE 15K AIRFOIL,[0.60978626],[0.01118009],[-0.02839984],[54.54217934]
NACA 16-015,[0.37212603],[0.00692696],[0.03575666],[53.72141211]
GOE 440 AIRFOIL,[1.60319103],[0.03056888],[-0.20807656],[52.44519727]
NACA 66-021 AIRFOIL,[0.4281185],[0.00817275],[0.01726923],[52.38363351]
WORTMANN FX 3 AIRFOIL,[0.85925248],[0.017063],[-0.1180024],[50.35764937]
MI-STRUT1,[0.44866219],[0.00895942],[0.02147752],[50.07715587]
GOE 443 AIRFOIL,[0.55892153],[0.01129633],[-0.00327579],[49.47816264]
GOE 114 (MVA MK.1) AIRFOIL,[0.83657335],[0.01709057],[-0.07497787],[48.94939971]
GOE 16K AIRFOIL,[0.5703183],[0.01293246],[-0.02513223],[44.09975932]
NACA 23024,[0.48583164],[0.01109482],[0.03898815],[43.78906085]
GOE 559 AIRFOIL,[0.82737215],[0.0190263],[-0.05031793],[43.48570161]
YS-900,[0.39657278],[0.00935579],[0.03046635],[42.38795283]
GOE 444 AIRFOIL,[0.53638293],[0.01284594],[0.00134213],[41.75506692]
FX 79-W-470A,[0.79321236],[0.02032257],[-0.03446827],[39.03110764]
GOE 451 AIRFOIL,[1.09428063],[0.02813632],[-0.1024295],[38.89210813]
SIKORSKY DBLN-526 AIRFOIL,[0.61530955],[0.0158383],[-0.02457428],[38.84945872]
NACA 16-018,[0.27431398],[0.00730051],[0.05764949],[37.57462107]
GOE 570 AIRFOIL,[0.73289877],[0.02696562],[-0.0384499],[27.17900568]
AH 93-W-480B,[1.22717176],[0.0453369],[-0.17275794],[27.06783794]
GOE 5K AIRFOIL,[0.68520553],[0.02752434],[-0.03054381],[24.89452838]
NACA 16-021,[0.17865294],[0.00795812],[0.07695553],[22.44913251]
Eiffel 10 (Wright) - 1903 Wright Flyer airfoil,[1.09789228],[0.05038473],[-0.10870072],[21.79017796]
GOE 9K AIRFOIL,[0.62212956],[0.03316326],[-0.01139371],[18.75960441]
UNIVERSITY OF ALBERTA UA 79-SF-187 AIRFOIL MAIN ELEMENT,[1.82397166],[0.10023683],[-0.24624029],[18.19662185]
RONCZ R1145MS MAIN ELEMENT,[0.30620774],[0.01959154],[-0.01486351],[15.62959113]
NASA SC(2)-0403 AIRFOIL,[0.70585522],[0.04599501],[-0.03776024],[15.34634457]
NASA SC(2)-0503 AIRFOIL,[0.74724578],[0.05375175],[-0.04618209],[13.90179433]
Griffith 30% Suction Airfoil,[0.24339123],[0.01815464],[0.02434164],[13.40655458]
NASA SC(2)-0402 AIRFOIL,[0.68582935],[0.05683424],[-0.03509463],[12.06718617]
FX 79-W-660A,[0.48698092],[0.06713504],[-0.01167152],[7.25375194]
BOEING 707 .40 SPAN AIRFOIL,[3.24791282],[35.50882751],[-0.63458627],[0.09146776]
"RAF 6 AIRFOIL, 12%, LE rad. 0.012, TE rad. 0.0092, NACA TR259 smoothed",[-66.45773869],[inf],[inf],[-0.]
BOEING 707 .19 SPAN AIRFOIL,[-2.68892473],[75.88607234],[0.95266742],[-0.03543371]
CAP 21   (TraCFoil),[-0.59249715],[7.77063644],[0.0069504],[-0.07624821]
NACA-1 COWL,[-2.93391817],[0.56956725],[2.86631134],[-5.15113566]
